Evolução,Diário
04/11/2021,34.0
05/11/2021,34.0
06/11/2021,21.0
07/11/2021,19.0
08/11/2021,29.0
09/11/2021,12.0
10/11/2021,25.0
11/11/2021,27.0
12/11/2021,20.0
13/11/2021,7.0
14/11/2021,9.0
15/11/2021,15.0
16/11/2021,46.0
17/11/2021,31.0
18/11/2021,31.0
19/11/2021,22.0
20/11/2021,10.0
21/11/2021,13.0
22/11/2021,31.0
23/11/2021,18.0
24/11/2021,13.0
25/11/2021,18.0
26/11/2021,22.0
27/11/2021,17.0
28/11/2021,20.0
29/11/2021,36.0
30/11/2021,22.0
01/12/2021,23.0
02/12/2021,23.0
03/12/2021,26.0
04/12/2021,11.0
05/12/2021,11.0
06/12/2021,31.0
07/12/2021,48.0
08/12/2021,36.0
09/12/2021,34.0
10/12/2021,41.0
11/12/2021,22.0
12/12/2021,11.0
13/12/2021,29.0
14/12/2021,14.0
15/12/2021,26.0
16/12/2021,10.0
17/12/2021,5.0
18/12/2021,4.0
19/12/2021,10.0
20/12/2021,14.0
21/12/2021,10.0
22/12/2021,16.0
23/12/2021,27.0
24/12/2021,19.0
25/12/2021,11.0
26/12/2021,18.0
27/12/2021,66.0
28/12/2021,67.0
29/12/2021,68.0
30/12/2021,93.0
31/12/2021,74.0
01/01/2022,10.0
02/01/2022,53.0
03/01/2022,175.0
04/01/2022,173.0
05/01/2022,321.0
06/01/2022,297.0
07/01/2022,192.0
08/01/2022,133.0
09/01/2022,121.0
10/01/2022,627.0
11/01/2022,527.0
12/01/2022,474.0
13/01/2022,286.0
14/01/2022,242.0
15/01/2022,47.0
16/01/2022,52.0
17/01/2022,375.0
18/01/2022,235.0
19/01/2022,116.0
20/01/2022,63.0
21/01/2022,145.0
22/01/2022,49.0
23/01/2022,36.0
24/01/2022,173.0
25/01/2022,83.0
26/01/2022,19.0
27/01/2022,108.0
28/01/2022,135.0
29/01/2022,51.0
30/01/2022,21.0
31/01/2022,91.0
01/02/2022,39.0
02/02/2022,48.0
03/02/2022,31.0
04/02/2022,20.0
05/02/2022,20.0
06/02/2022,14.0
07/02/2022,8.0
08/02/2022,20.0
09/02/2022,11.0
10/02/2022,19.0
11/02/2022,14.0
12/02/2022,1.0
13/02/2022,4.0
14/02/2022,30.0
15/02/2022,42.0
16/02/2022,13.0
17/02/2022,11.0
18/02/2022,36.0
19/02/2022,8.0
20/02/2022,2.0
21/02/2022,4.0
22/02/2022,46.0
23/02/2022,3.0
24/02/2022,35.0
25/02/2022,1.0
26/02/2022,38.0
27/02/2022,27.0
28/02/2022,28.0
01/03/2022,28.0
02/03/2022,52.0
03/03/2022,26.0
04/03/2022,55.0
05/03/2022,3.0
07/03/2022,33.0
08/03/2022,34.0
09/03/2022,12.0
10/03/2022,22.0
11/03/2022,3.0
13/03/2022,1.0
14/03/2022,32.0
15/03/2022,6.0
16/03/2022,47.0
17/03/2022,4.0
18/03/2022,25.0
20/03/2022,15.0
21/03/2022,4.0
22/03/2022,34.0
23/03/2022,21.0
24/03/2022,36.0
25/03/2022,76.0
26/03/2022,1.0
27/03/2022,1.0
28/03/2022,27.0
29/03/2022,32.0
30/03/2022,32.0
31/03/2022,29.0
01/04/2022,33.0
02/04/2022,37.0
03/04/2022,37.0
04/04/2022,34.0
05/04/2022,50.0
06/04/2022,22.0
07/04/2022,18.0
08/04/2022,31.0
09/04/2022,49.0
10/04/2022,19.0
11/04/2022,61.0
12/04/2022,30.0
13/04/2022,53.0
15/04/2022,40.0
16/04/2022,31.0
17/04/2022,5.0
18/04/2022,2.0
19/04/2022,17.0
20/04/2022,2.0
