Datas,Riad
2020/10/13,42
2020/10/14,25
2020/10/15,25
2020/10/16,25
2020/10/17,25
2020/10/18,27
2020/10/19,23
2020/10/20,34
2020/10/21,39
2020/10/22,42
2020/10/23,37
2020/10/24,41
2020/10/25,36
2020/10/26,44
2020/10/27,49
2020/10/28,46
2020/10/29,53
2020/10/30,44
2020/10/31,48
2020/11/01,37
2020/11/02,40
2020/11/03,53
2020/11/04,67
2020/11/05,69
2020/11/06,64
2020/11/07,62
2020/11/08,54
2020/11/09,60
2020/11/10,58
2020/11/11,55
2020/11/12,59
2020/11/13,62
2020/11/14,57
2020/11/15,42
2020/11/16,35
2020/11/17,63
2020/11/18,50
2020/11/19,76
2020/11/20,63
2020/11/21,51
2020/11/22,46
2020/11/23,33
2020/11/24,61
2020/11/25,65
2020/11/26,70
2020/11/27,55
2020/11/28,51
2020/11/29,44
2020/11/30,38
2020/12/01,42
2020/12/02,49
2020/12/03,57
2020/12/04,56
2020/12/05,36
2020/12/06,28
2020/12/07,31
2020/12/08,20
2020/12/09,15
2020/12/10,40
2020/12/11,40
2020/12/12,23
2020/12/13,29
2020/12/14,27
2020/12/15,26
2020/12/16,34
2020/12/17,37
2020/12/18,34
2020/12/19,33
2020/12/20,29
2020/12/21,29
2020/12/22,34
2020/12/23,22
2020/12/24,32
2020/12/25,31
2020/12/26,36
2020/12/27,36
2020/12/28,37
2020/12/29,39
2020/12/30,43
2020/12/31,30
2021/01/01,36
2021/01/02,30
2021/01/03,29
2021/01/04,38
2021/01/05,38
2021/01/06,31
2021/01/07,19
2021/01/08,31
2021/01/09,38
2021/01/10,33
2021/01/11,39
2021/01/12,38
2021/01/13,32
2021/01/14,36
2021/01/15,25
2021/01/16,50
2021/01/17,43
2021/01/18,37
2021/01/19,45
2021/01/20,69
2021/01/21,69
2021/01/22,50
2021/01/23,68
2021/01/24,57
2021/01/25,56
2021/01/26,62
2021/01/27,71
2021/01/28,51
2021/01/29,77
2021/01/30,77
2021/01/31,64
2021/02/01,87
2021/02/02,71
2021/02/03,69
2021/02/04,118
2021/02/05,82
2021/02/06,99
2021/02/07,108
2021/02/08,115
2021/02/09,118
