,Datas,Berlim
318,2021/01/28,503.0
319,2021/01/29,556.0
320,2021/01/30,291.0
321,2021/01/31,140.0
322,2021/02/01,455.0
323,2021/02/02,353.0
324,2021/02/03,644.0
325,2021/02/04,484.0
326,2021/02/05,352.0
327,2021/02/06,222.0
328,2021/02/07,156.0
329,2021/02/08,284.0
330,2021/02/09,302.0
331,2021/02/10,546.0
332,2021/02/11,396.0
333,2021/02/12,384.0
334,2021/02/13,204.0
335,2021/02/14,71.0
336,2021/02/15,196.0
337,2021/02/16,296.0
338,2021/02/17,444.0
339,2021/02/18,475.0
340,2021/02/19,372.0
341,2021/02/20,252.0
342,2021/02/21,73.0
343,2021/02/22,287.0
344,2021/02/23,268.0
345,2021/02/24,483.0
346,2021/02/25,510.0
347,2021/02/26,497.0
348,2021/02/27,311.0
349,2021/02/28,103.0
350,2021/03/01,242.0
351,2021/03/02,482.0
352,2021/03/03,447.0
353,2021/03/04,608.0
354,2021/03/05,415.0
355,2021/03/06,313.0
356,2021/03/07,110.0
357,2021/03/08,88.0
358,2021/03/09,287.0
359,2021/03/10,489.0
360,2021/03/11,553.0
361,2021/03/12,644.0
362,2021/03/13,508.0
363,2021/03/14,208.0
364,2021/03/15,366.0
365,2021/03/16,662.0
366,2021/03/17,630.0
367,2021/03/18,629.0
368,2021/03/19,894.0
369,2021/03/20,286.0
370,2021/03/21,219.0
371,2021/03/22,545.0
372,2021/03/23,751.0
373,2021/03/24,1268.0
374,2021/03/25,1006.0
375,2021/03/26,973.0
376,2021/03/27,735.0
377,2021/03/28,296.0
378,2021/03/29,575.0
379,2021/03/30,663.0
380,2021/03/31,1012.0
381,2021/04/01,1205.0
382,2021/04/02,484.0
383,2021/04/03,778.0
384,2021/04/04,309.0
385,2021/04/05,194.0
386,2021/04/06,601.0
387,2021/04/07,545.0
388,2021/04/08,923.0
389,2021/04/09,1019.0
390,2021/04/10,643.0
391,2021/04/11,493.0
392,2021/04/12,539.0
393,2021/04/13,677.0
394,2021/04/14,1327.0
395,2021/04/15,1022.0
396,2021/04/16,1288.0
