Datas,Buenos Aires
2021/12/27,2308
2021/12/28,3131
2021/12/29,3511
2021/12/30,3809
2021/12/31,2398
2022/01/01,1544
2022/01/02,3445
2022/01/03,6227
2022/01/04,6983
2022/01/05,8455
2022/01/06,7883
2022/01/07,7598
2022/01/08,6155
2022/01/09,5909
2022/01/10,10033
2022/01/11,9056
2022/01/12,9548
2022/01/13,7518
2022/01/14,8287
2022/01/15,6283
2022/01/16,6409
2022/01/17,8994
2022/01/18,9710
2022/01/19,7932
2022/01/20,7145
2022/01/21,6517
2022/01/22,4889
2022/01/23,4380
2022/01/24,5459
2022/01/25,4558
2022/01/26,3983
2022/01/27,3803
2022/01/28,3400
2022/01/29,2489
2022/01/30,2129
2022/01/31,4180
2022/02/01,2529
2022/02/02,2416
2022/02/03,2334
2022/02/04,2327
2022/02/05,1604
2022/02/06,1217
2022/02/07,2423
2022/02/08,1729
2022/02/09,1631
2022/02/10,1539
2022/02/11,1190
2022/02/12,895
2022/02/13,659
2022/02/14,1146
2022/02/15,1166
2022/02/16,934
2022/02/17,1012
2022/02/18,830
2022/02/19,555
2022/02/20,403
2022/02/21,978
2022/02/22,821
2022/02/23,743
2022/02/24,577
2022/02/25,574
2022/02/26,341
2022/02/27,275
2022/02/28,394
2022/03/01,183
2022/03/02,515
2022/03/03,373
2022/03/04,374
2022/03/05,245
2022/03/06,212
2022/03/07,320
2022/03/08,324
2022/03/09,269
2022/03/10,297
2022/03/11,247
2022/03/12,155
2022/03/13,128
2022/03/14,288
2022/03/15,491
2022/03/16,424
2022/03/17,199
2022/03/18,408
2022/03/19,212
2022/03/20,109
2022/03/21,172
2022/03/22,123
2022/03/23,174
2022/03/24,101
2022/03/25,132
2022/03/26,82
2022/03/27,81
2022/03/28,148
2022/03/29,167
2022/03/30,137
2022/03/31,128
2022/04/01,84
2022/04/02,63
2022/04/03,72
2022/04/04,124
2022/04/05,99
2022/04/06,100
2022/04/07,102
2022/04/08,79
2022/04/09,67
2022/04/10,67
2022/04/11,115
2022/04/12,101
2022/04/13,112
2022/04/14,98
2022/04/15,60
2022/04/16,89
2022/04/17,66
2022/04/18,125
2022/04/19,97
2022/04/20,135
2022/04/21,118
2022/04/22,85
2022/04/23,0
