Datas,Rio de Janeiro,Dados salvos
2021/06/01,1679,
2021/06/02,1581,
2021/06/03,417,
2021/06/04,1703,
2021/06/05,520,
2021/06/06,269,
2021/06/07,1880,
2021/06/08,1584,
2021/06/09,1413,
2021/06/10,1401,
2021/06/11,1337,
2021/06/12,338,
2021/06/13,168,
2021/06/14,1490,
2021/06/15,1142,
2021/06/16,1257,
2021/06/17,1140,
2021/06/18,1059,
2021/06/19,281,
2021/06/20,160,
2021/06/21,1660,
2021/06/22,1104,
2021/06/23,1064,
2021/06/24,1219,
2021/06/25,1035,
2021/06/26,395,
2021/06/27,178,
2021/06/28,1566,
2021/06/29,631,
2021/06/30,904,
2021/07/01,1061,
2021/07/02,942,
2021/07/03,250,
2021/07/04,171,
2021/07/05,1451,
2021/07/06,1054,
2021/07/07,926,
2021/07/08,1108,
2021/07/09,1076,
2021/07/10,337,
2021/07/11,214,
2021/07/12,1118,
2021/07/13,1551,
2021/07/14,1171,
2021/07/15,1215,
2021/07/16,1404,
2021/07/17,348,
2021/07/18,215,
2021/07/19,1037,
2021/07/20,1633,
2021/07/21,1463,
2021/07/22,1350,
2021/07/23,1351,
2021/07/24,446,
2021/07/25,233,
2021/07/26,2064,
2021/07/27,1794,
2021/07/28,1657,
2021/07/29,1430,
2021/07/30,1447,
2021/07/31,634,
2021/08/01,293,
2021/08/02,2248,
2021/08/03,1976,
2021/08/04,1988,
2021/08/05,2024,
2021/08/06,1948,
2021/08/07,652,
2021/08/08,297,
2021/08/09,2634,
2021/08/10,2709,
2021/08/11,2466,
2021/08/12,2467,
2021/08/13,2154,
2021/08/14,788,
2021/08/15,319,
2021/08/16,3300,
2021/08/17,2767,
2021/08/18,2614,
2021/08/19,2506,
2021/08/20,2212,
2021/08/21,656,
2021/08/22,329,
2021/08/23,3162,
2021/08/24,2419,
2021/08/25,2112,
2021/08/26,2068,
2021/08/27,1993,
2021/08/28,583,
2021/08/29,245,
2021/08/30,2637,
2021/08/31,1872,
2021/09/01,1666,
2021/09/02,1749,
2021/09/03,1661,
2021/09/04,624,
2021/09/05,253,
2021/09/06,1720,
2021/09/07,281,
2021/09/08,1125,
2021/09/09,1121,
2021/09/10,1039,
2021/09/11,378,
2021/09/12,258,
2021/09/13,1526,
2021/09/14,1380,
2021/09/15,1089,
2021/09/16,788,
2021/09/17,855,
2021/09/18,269,
2021/09/19,127,
2021/09/20,1308,
2021/09/21,717,
2021/09/22,784,
2021/09/23,698,
2021/09/24,701,
2021/09/25,212,
2021/09/26,118,
2021/09/27,911,
2021/09/28,600,
2021/09/29,505,
2021/09/30,554,
2021/10/01,436,
2021/10/02,119,
2021/10/03,74,
2021/10/04,675,
2021/10/05,407,
2021/10/06,356,
2021/10/07,308,
2021/10/08,317,
2021/10/09,95,
2021/10/10,49,
2021/10/11,277,
2021/10/12,63,
2021/10/13,407,
2021/10/14,243,
2021/10/15,239,
2021/10/16,109,
2021/10/17,48,
2021/10/18,299,
2021/10/19,225,
2021/10/20,240,
2021/10/21,183,
2021/10/22,294,
2021/10/23,54,
2021/10/24,34,
2021/10/25,348,
2021/10/26,305,
2021/10/27,290,
2021/10/28,277,
2021/10/29,238,
2021/10/30,125,
2021/10/31,34,
2021/11/01,183,
2021/11/02,136,
2021/11/03,229,
2021/11/04,164,
2021/11/05,192,
2021/11/06,31,
2021/11/07,28,
2021/11/08,272,
2021/11/09,163,
2021/11/10,167,
2021/11/11,226,
2021/11/12,191,
2021/11/13,71,
2021/11/14,13,
2021/11/15,35,
2021/11/16,216,
2021/11/17,115,
2021/11/18,168,
2021/11/19,146,
2021/11/20,31,
2021/11/21,35,
2021/11/22,368,
2021/11/23,326,
2021/11/24,194,
2021/11/25,166,
2021/11/26,171,
2021/11/27,53,
2021/11/28,9,
2021/11/29,269,
2021/11/30,189,
2021/12/01,235,
2021/12/02,287,
2021/12/03,240,
2021/12/04,48,
2021/12/05,14,
2021/12/06,208,
2021/12/07,316,
2021/12/08,187,
2021/12/09,273,
2021/12/10,65,
2021/12/11,31,
2021/12/12,6,
2021/12/13,112,
2021/12/14,24,
2021/12/15,70,
2021/12/16,94,
2021/12/17,26,4
2021/12/18,,3
2021/12/19,,
2021/12/20,63,
2021/12/21,65,
2021/12/22,84,235
2021/12/23,,
2021/12/24,99,27
2021/12/25,,54
2021/12/26,,
2021/12/27,362,
2021/12/28,585,
2021/12/29,678,
2021/12/30,982,463
2021/12/31,,138
2022/01/01,,289
2022/01/02,,
2022/01/03,3192,
2022/01/04,5518,
2022/01/05,8032,
2022/01/06,9670,
2022/01/07,11912,6960
2022/01/08,,2806
2022/01/09,,
2022/01/10,18748,
2022/01/11,21812,
2022/01/12,25920,
2022/01/13,29403,21377
2022/01/14,,16574
2022/01/15,,5982
2022/01/16,,
2022/01/17,27079,
2022/01/18,23810,
2022/01/19,20081,
2022/01/20,17980,
2022/01/21,19302,7337
2022/01/22,,3214
2022/01/23,,
2022/01/24,16650,
2022/01/25,13919,
2022/01/26,13157,
2022/01/27,12252,
2022/01/28,9893,3496
2022/01/29,,2089
2022/01/30,,
2022/01/31,7986,
2022/02/01,7081,
2022/02/02,6258,
2022/02/03,6044,
2022/02/04,4849,1335
2022/02/05,,533
2022/02/06,,
2022/02/07,3333,
2022/02/08,2454,
2022/02/09,2308,
2022/02/10,2667,
2022/02/11,2275,759
2022/02/12,,130
2022/02/13,,
2022/02/14,1695,
2022/02/15,1656,
2022/02/16,1478,
2022/02/17,1285,
2022/02/18,905,
2022/02/19,378,
2022/02/20,116,
2022/02/21,1089,
2022/02/22,833,
2022/02/23,908,
2022/02/24,782,
2022/02/25,981,
2022/02/26,154,
2022/02/27,145,
2022/02/28,216,
2022/03/01,96,
2022/03/02,836,
2022/03/03,820,
2022/03/04,745,
2022/03/05,88,
2022/03/06,112,
2022/03/07,769,
2022/03/08,702,
2022/03/09,677,
2022/03/10,560,
2022/03/11,457,
2022/03/12,65,
2022/03/13,14,
2022/03/14,665,
2022/03/15,350,
2022/03/16,474,
2022/03/17,420,
2022/03/18,256,
2022/03/19,60,
2022/03/20,13,
2022/03/21,301,
2022/03/22,323,
2022/03/23,196,
2022/03/24,198,
2022/03/25,151,
2022/03/26,36,
2022/03/27,84,
2022/03/28,309,
2022/03/29,260,
2022/03/30,209,
2022/03/31,328,
2022/04/01,221,
2022/04/02,14,
2022/04/03,8,
2022/04/04,138,
2022/04/05,194,
2022/04/06,193,
2022/04/07,223,
2022/04/08,161,
2022/04/09,34,
2022/04/10,11,
2022/04/11,192,
2022/04/12,296,
2022/04/13,215,
2022/04/14,186,
2022/04/15,9,
2022/04/16,55,
2022/04/17,28,
2022/04/18,248,
2022/04/19,180,
2022/04/20,185,
2022/04/21,12,
2022/04/22,81,
2022/04/23,15,
2022/04/24,14,
2022/04/25,286,
2022/04/26,307,
2022/04/27,242,
2022/04/28,155,
2022/04/29,218,
2022/04/30,75,
2022/05/01,27,
2022/05/02,272,
2022/05/03,262,
2022/05/04,202,
2022/05/05,1,
2022/05/06,318,
2022/05/07,136,
2022/05/08,52,
2022/05/09,487,
2022/05/10,448,
2022/05/11,393,
2022/05/12,494,
2022/05/13,597,
2022/05/14,232,
2022/05/15,63,
2022/05/16,898,
2022/05/17,315,
2022/05/18,354,
2022/05/19,289,
2022/05/20,903,
2022/05/21,309,
2022/05/22,85,
2022/05/23,1272,
2022/05/24,1044,
2022/05/25,1305,
2022/05/26,1341,
2022/05/27,1682,
2022/05/28,820,
2022/05/29,186,
2022/05/30,2515,
2022/05/31,2496,
2022/06/01,3233,
2022/06/02,3240,
2022/06/03,3168,
2022/06/04,2542,
2022/06/05,260,
2022/06/06,4509,
2022/06/07,3852,
2022/06/08,4674,
2022/06/09,4435,
2022/06/10,4293,
2022/06/11,1737,
2022/06/12,308,
2022/06/13,5318,
2022/06/14,4570,
2022/06/15,4738,
2022/06/16,497,
2022/06/17,3881,
2022/06/18,2650,
2022/06/19,334,
2022/06/20,6854,
2022/06/21,5251,
2022/06/22,5248,
2022/06/23,4873,
2022/06/24,4464,
2022/06/25,1894,
2022/06/26,287,
2022/06/27,5216,
2022/06/28,4027,
2022/06/29,3749,
2022/06/30,3571,
2022/07/01,3285,
2022/07/02,1205,
2022/07/03,179,
2022/07/04,3511,
2022/07/05,2641,
2022/07/06,2372,
2022/07/07,2345,
2022/07/08,2135,
2022/07/09,698,
2022/07/10,84,
2022/07/11,2288,
2022/07/12,1716,
2022/07/13,1562,
2022/07/14,1428,
2022/07/15,1290,
2022/07/16,480,
2022/07/17,85,
2022/07/18,1554,
2022/07/19,1162,
2022/07/20,942,
2022/07/21,810,
2022/07/22,950,
2022/07/23,235,
2022/07/24,31,
2022/07/25,833,
2022/07/26,928,
2022/07/27,606,
2022/07/28,627,
2022/07/29,507,
2022/07/30,113,
2022/07/31,27,
2022/08/01,436,
2022/08/02,499,
2022/08/03,547,
2022/08/04,452,
2022/08/05,298,
2022/08/06,87,
2022/08/07,11,
2022/08/08,443,
2022/08/09,331,
2022/08/10,416,
2022/08/11,364,
2022/08/12,300,
2022/08/13,80,
2022/08/14,15,
2022/08/15,344,
2022/08/16,380,
2022/08/17,363,
2022/08/18,315,
2022/08/19,201,
2022/08/20,113,
2022/08/21,24,
2022/08/22,150,
2022/08/23,161,
2022/08/24,293,
2022/08/25,282,
2022/08/26,291,
2022/08/27,36,
2022/08/28,8,
2022/08/29,417,
2022/08/30,190,
2022/08/31,318,
2022/09/01,166,
2022/09/02,107,
2022/09/03,30,
2022/09/04,9,
2022/09/05,189,
2022/09/06,138,
2022/09/07,4,
2022/09/08,205,
2022/09/09,171,
2022/09/10,37,
2022/09/11,2,
